Source,Target
41216797,78159970
41216797,74377197
41216797,71531915
41216797,24267790
1.17078E+18,417115529
1.17078E+18,1.10065E+18
1.17078E+18,254561699
1.17078E+18,1.10663E+18
1.17078E+18,2580033391
1.17078E+18,427431943
1.17078E+18,3102522680
1.17078E+18,118385743
1.17078E+18,228409784
1.17078E+18,3410350023
1.17078E+18,7.42767E+17
1.17078E+18,3008322017
1.17078E+18,2584784815
1.17078E+18,7.07292E+17
1.17078E+18,353575855
1.17078E+18,126498177
1.17078E+18,392695595
1.17078E+18,765697920
1.17078E+18,50623580
1.17078E+18,109826391
1.17078E+18,240974125
1.17078E+18,19675099
1.17078E+18,19866417
1.17078E+18,128721691
1.17078E+18,138840988
1.17078E+18,41961255
1.17078E+18,16890685
1.17078E+18,2579880421
1.17078E+18,17884105
1.17078E+18,14776186
1.17078E+18,19660014
1.17078E+18,30295157
1.17078E+18,261833663
1.17078E+18,392068804
1.17078E+18,33834478
1.17078E+18,19683634
1.17078E+18,27281771
1.17078E+18,2499343681
1.17078E+18,507060575
1.17078E+18,236945284
1.17078E+18,822338022
1.17078E+18,19965886
1.17078E+18,350419761
1.17078E+18,171242926
1.17078E+18,43425133
1.17078E+18,134106410
1.17078E+18,95807398
1.17078E+18,14360646
1.17078E+18,759553892
1.17078E+18,27546319
1.17078E+18,534166347
1.17078E+18,143319983
1.17078E+18,12324252
1.17078E+18,447080423
1.17078E+18,331659804
1.17078E+18,80422885
1.17078E+18,2981968107
1.17078E+18,100796305
1.17078E+18,8.97061E+17
1.17078E+18,8699902
1.17078E+18,2361967422
1.17078E+18,7.73905E+17
1.17078E+18,9.11297E+17
1.17078E+18,1482581556
1.17078E+18,14839109
1.17078E+18,387156826
1.17078E+18,4783690002
1.17078E+18,118263124
1.17078E+18,3270678680
1.17078E+18,1.09182E+18
1.17078E+18,47725447
1.17078E+18,20167623
1.17078E+18,9.74882E+17
1.17078E+18,1.00377E+18
1.17078E+18,2986289819
1.17078E+18,1.03396E+18
1.17078E+18,264501255
1.17078E+18,261126954
1.17078E+18,1679171245
1.17078E+18,9271782
1.17078E+18,2329921
1.17078E+18,26000689
1.17078E+18,582161546
1.17078E+18,839011723
1.17078E+18,24499773
1.17078E+18,848385648
1.17078E+18,136443834
1.17078E+18,701121510
1.17078E+18,16687314
1.17078E+18,16976496
1.17078E+18,529438517
